case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year,marked,plaintiff,defendant,plaintiff_size,defendant_size
"Joanne Grafton and Billy Grafton, Individually and on Behalf of the Estate of Shelly Grafton v. Elizabeth Hammond Edwards (La. Ct. App. 2026)","56,785-CA",2026-02-25,Louisiana Court of Appeal,0,0.0,1.0,https://www.courtlistener.com/opinion/10800484/joanne-grafton-and-billy-grafton-individually-and-on-behalf-of-the-estate/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"Joanne Grafton and Billy Grafton, Individually and on Behalf of the Estate of Shelly Grafton",Elizabeth Hammond Edwards,1.0,1.0
"Learning Resources, Inc. v. Trump (2026)",24-1287,2026-02-20,Supreme Court of the United States,0,0.0,1.0,https://www.courtlistener.com/opinion/10796821/learning-resources-inc-v-trump/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2,2026,1,"Learning Resources, Inc.",Trump,5.0,3.0
"Willis Electric Co., Ltd. v. Polygroup Ltd. (Macao Commercial Offshore) (Fed. Cir. 2026)",24-2118,2026-02-17,Court of Appeals for the Federal Circuit,1,42494772.0,1.0,https://www.courtlistener.com/opinion/10794865/willis-electric-co-ltd-v-polygroup-ltd-macao-commercial-offshore/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"Willis Electric Co., Ltd.",Polygroup Ltd.,5.0,7.0
Apple Inc. v. Squires (Fed. Cir. 2026),24-1864,2026-02-13,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10793150/apple-inc-v-squires/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,Apple Inc.,Squires,9.0,1.0
"Netflix, Inc. v. Divx, LLC (Fed. Cir. 2026)",24-1541,2026-02-13,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10793146/netflix-inc-v-divx-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"Netflix, Inc.","Divx, LLC",7.0,5.0
Ingevity Corporation v. Basf Corporation (Fed. Cir. 2026),24-1577,2026-02-11,Court of Appeals for the Federal Circuit,1,28285714.0,1.0,https://www.courtlistener.com/opinion/10787098/ingevity-corporation-v-basf-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,Ingevity Corporation,Basf Corporation,5.0,5.0
"Gotv Streaming, LLC v. Netflix, Inc. (Fed. Cir. 2026)",24-1669,2026-02-09,Court of Appeals for the Federal Circuit,1,2500000.0,0.0,https://www.courtlistener.com/opinion/10786007/gotv-streaming-llc-v-netflix-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"Gotv Streaming, LLC","Netflix, Inc.",5.0,7.0
"Cove Funding, LP and Its Subsidiary HPS Admin, LLC v. Marcy Barba and Jorge Barba (Tex. App.-Austin 2026)",03-25-00233-CV,2026-02-03,"Texas Court of Appeals, 3rd District (Austin)",0,0.0,1.0,https://www.courtlistener.com/opinion/10786245/cove-funding-lp-and-its-subsidiary-hps-admin-llc-v-marcy-barba-and-jorge/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"Cove Funding, LP and Its Subsidiary HPS Admin, LLC",Marcy Barba and Jorge Barba,5.0,1.0
"Range of Motion Products, LLC v. Armaid Company Inc. (Fed. Cir. 2026)",23-2427,2026-02-02,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10782671/range-of-motion-products-llc-v-armaid-company-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"Range of Motion Products, LLC",Armaid Company Inc.,5.0,5.0
"BlueRadios, Inc. v. Hamilton, Brook, Smith & Reynolds, P.C. (1st Cir. 2026)",24-1942,2026-02-02,Court of Appeals for the First Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10782978/blueradios-inc-v-hamilton-brook-smith-reynolds-pc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"BlueRadios, Inc.","Hamilton, Brook, Smith & Reynolds, P.C.",5.0,1.0
